fromNode,toNode,value,interaction_type,selfLoop,label,guid
region,region,85,,True,,0
region,microsoft,707,,False,,1
region,class,33,,False,,10
datastructures,tree,6,,False,,100
length,numberofparameters,3,,False,,1000
intersectclip,rect,3,,False,,10000
multiplytransform,matrix,3,,False,,10001
matrixorder,public,5,,False,,10002
resetclip,public,1,,False,,10003
resettransform,public,1,,False,,10004
rotatetransform,angle,4,,False,,10005
willnotcorruptstate,cer,1,,False,,10006
scaletransform,sx,3,,False,,10007
sx,single,3,,False,,10008
sy,single,3,,False,,10009
length,inputfilestream,5,,False,,1001
setclip,region,1,,False,,10010
setclip,path,3,,False,,10011
setclip,rect,7,,False,,10012
setclip,graphics,3,,False,,10013
combinemode,public,9,,False,,10014
combinemode,combinemode,9,,True,,10015
transformpoints,destspace,3,,False,,10016
destspace,coordinatespace,3,,False,,10017
coordinatespace,srcspace,3,,False,,10018
coordinatespace,pts,3,,False,,10019
length,bombytes,1,,False,,1002
srcspace,coordinatespace,3,,False,,10020
pts,select,2,,False,,10021
pts,pointf,1,,False,,10022
pts,point,1,,False,,10023
pts,ienumerable,1,,False,,10024
cer,success,1,,False,,10025
translateclip,dx,3,,False,,10026
dx,integer,1,,False,,10027
dx,dy,2,,False,,10028
dx,single,5,,False,,10029
length,samplebytes,1,,False,,1003
dy,integer,1,,False,,10030
dy,single,5,,False,,10031
translatetransform,dx,5,,False,,10032
begincontainer,graphicscontainer,1,,False,,10033
begincontainer,dstrect,5,,False,,10034
dstrect,rectangle,1,,False,,10035
dstrect,rectanglef,1,,False,,10036
dstrect,srcrect,1,,False,,10037
editorbrowsable,editorbrowsablestate,1,,False,,10038
editorbrowsablestate,public,1,,False,,10039
length,currentpos,5,,False,,1004
getcontextinfo,object,1,,False,,10040
getnearestcolor,color,2,,False,,10041
success,true,1,,False,,10042
success,return,5,,False,,10043
success,mybase,1,,False,,10044
success,success,1,,True,,10045
success,boolean,4,,False,,10046
success,function,3,,False,,10047
isvisible,integer,3,,False,,10048
isvisible,rect,5,,False,,10049
length,cli,1,,False,,1005
isvisible,width,1,,False,,10050
isvisible,point,5,,False,,10051
isvisible,function,1,,False,,10052
isvisible,single,3,,False,,10053
measurecharacterranges,text,2,,False,,10054
layoutrect,rectanglef,1,,False,,10055
measurestring,text,24,,False,,10056
layoutarea,sizef,5,,False,,10057
layoutarea,stringformat,1,,False,,10058
charactersfitted,integer,1,,False,,10059
length,double,2,,False,,1006
linesfilled,integer,1,,False,,10060
ilayoutcoordinate,xmlattribute,2,,False,,10061
ix,iy,1,,False,,10062
iy,return,1,,False,,10063
cx,integer,1,,False,,10064
layout,layout,2,,True,,10065
collections,specialized,3,,False,,10066
collections,objectmodel,2,,False,,10067
collections,generic,36,,False,,10068
collections,indexedbinarysearch,1,,False,,10069
length,buffer,7,,False,,1007
collections,iteratorbinarysearch,1,,False,,10070
collections,comparer,1,,False,,10071
collections,imports,1,,False,,10072
x0,x2,1,,False,,10073
x0,y0,4,,False,,10074
x0,double,1,,False,,10075
y0,x1,3,,False,,10076
y0,y2,1,,False,,10077
y0,double,1,,False,,10078
denom,return,1,,False,,10079
length,ends,2,,False,,1008
denom,denompositive,1,,False,,10080
denom,double,1,,False,,10081
denom,dim,1,,False,,10082
