ID,NodeType,weight,x,y,PageRank,label
0e,,1,0,0,3.49965605678722E-05,0e
0f,,1,0,0,0.000211820419921401,0f
0l,,1,0,0,4.43651489821411E-05,0l
0r,,1,0,0,0.000262921946937468,0r
0s,,1,0,0,2.90733294467607E-05,0s
0server,,1,0,0,3.46935057176576E-05,0server
0x,,1,0,0,7.13514781528971E-05,0x
107l,,1,0,0,4.08891831841639E-05,107l
10l,,1,0,0,2.76863664421625E-05,10l
13b143,,1,0,0,4.40862495548105E-05,13b143
1b2c3d4e5f6g7h8,,1,0,0,2.71773419429088E-05,1b2c3d4e5f6g7h8
1l,,1,0,0,4.23649894382745E-05,1l
1xx,,1,0,0,2.8020481505567E-05,1xx
200l,,1,0,0,4.22143181327983E-05,200l
2f,,1,0,0,2.684204876808E-05,2f
2xx,,1,0,0,2.8020481505567E-05,2xx
3build,,1,0,0,2.89571355573307E-05,3build
3created,,1,0,0,2.89571355573307E-05,3created
3f,,1,0,0,2.46828301775723E-05,3f
3g,,1,0,0,3.6780914829711E-05,3g
3version,,1,0,0,2.89571355573307E-05,3version
3website,,1,0,0,2.89571355573307E-05,3website
3xx,,1,0,0,2.8020481505567E-05,3xx
404l,,1,0,0,5.54596786284779E-05,404l
405l,,1,0,0,3.3445129311165E-05,405l
42f2,,1,0,0,6.09238904704897E-05,42f2
4ad5,,1,0,0,5.28845196362102E-05,4ad5
4f,,1,0,0,2.12932957533304E-05,4f
4xx,,1,0,0,2.8020481505567E-05,4xx
5f,,1,0,0,3.32979223772041E-05,5f
5r,,1,0,0,3.06246418995664E-05,5r
5xx,,1,0,0,2.8020481505567E-05,5xx
6185086957226269797l,,1,0,0,2.89324300132373E-05,6185086957226269797l
7046a194a,,1,0,0,6.1018378767581E-05,7046a194a
768df93e,,1,0,0,3.00595726110972E-05,768df93e
8888888l,,1,0,0,2.89324300132373E-05,8888888l
8da45dcd8060cc9a,,1,0,0,3.74722703934744E-05,8da45dcd8060cc9a
8overpowered,,1,0,0,2.89571355573307E-05,8overpowered
8thetrigger,,1,0,0,2.89571355573307E-05,8thetrigger
9a,,1,0,0,4.78731076618018E-05,9a
9af57ebdb9c7,,1,0,0,7.52764059344068E-05,9af57ebdb9c7
a0d9,,1,0,0,6.18047318825943E-05,a0d9
a1,,1,0,0,7.342200577036E-05,a1
a2,,1,0,0,8.18637547017689E-05,a2
a3,,1,0,0,6.07970267910982E-05,a3
a3333,,1,0,0,4.25182380098476E-05,a3333
a4,,1,0,0,6.06976766008467E-05,a4
a5,,1,0,0,6.04614416061608E-05,a5
a577,,1,0,0,6.85572527143006E-05,a577
a6,,1,0,0,5.99087871071961E-05,a6
a7,,1,0,0,5.86159994697571E-05,a7
a7272,,1,0,0,4.25182380098476E-05,a7272
a8,,1,0,0,5.55705000127116E-05,a8
