fromNode,toNode,value,interaction_type,selfLoop,label,guid
success,return,0,,False,,0
iy,return,0,,False,,1
reference,return,0,,False,,10
loop,return,0,,False,,100
return,savedefault,0,,False,,1000
return,dir,0,,False,,1001
return,language,0,,False,,1002
return,queue,0,,False,,1003
return,rnd,0,,False,,1004
return,rt,0,,False,,1005
return,digits,0,,False,,1006
return,loop,0,,False,,1007
return,atn,0,,False,,1008
return,iterator,0,,False,,1009
n1,return,0,,False,,101
return,angdeg,0,,False,,1010
return,angrad,0,,False,,1011
return,dist,0,,False,,1012
return,buf,0,,False,,1013
return,eventaccessor,0,,False,,1014
return,neweventhandler,0,,False,,1015
return,instancegenericmethod,0,,False,,1016
return,instancemethod,0,,False,,1017
return,propertyget,0,,False,,1018
return,data,0,,False,,1019
ienumerable,return,0,,False,,102
return,staticmethod,0,,False,,1020
return,eventaccessorimpl,0,,False,,1021
return,requeststream,0,,False,,1022
return,xml,0,,False,,1023
return,datetimehelper,0,,False,,1024
return,monthlist,0,,False,,1025
return,scripting,0,,False,,1026
return,wildcardmatch,0,,False,,1027
return,json,0,,False,,1028
return,cc,0,,False,,1029
write,return,0,,False,,103
return,protocolcategory,0,,False,,1030
return,cpu,0,,False,,1031
return,threads,0,,False,,1032
return,operationtimeout,0,,False,,1033
return,methodimpl,0,,False,,1034
return,javamath,0,,False,,1035
return,1l,0,,False,,1036
return,str,0,,False,,1037
return,compareto,0,,False,,1038
return,utf8withoutbom,0,,False,,1039
dist,return,0,,False,,104
return,encoding,0,,False,,1040
return,i32,0,,False,,1041
return,array,0,,False,,1042
return,clng,0,,False,,1043
return,gds,0,,False,,1044
return,numbers,0,,False,,1045
return,upbound,0,,False,,1046
return,stringtosearch,0,,False,,1047
return,activeposition,0,,False,,1048
return,formathelper,0,,False,,1049
buf,return,0,,False,,105
return,nameof,0,,False,,1050
return,scopestack,0,,False,,1051
return,category,0,,False,,1052
return,params,0,,False,,1053
return,getjson,0,,False,,1054
return,obj,0,,False,,1055
return,splitout,0,,False,,1056
return,segment,0,,False,,1057
return,min,0,,False,,1058
return,len,0,,False,,1059
setmethod,return,0,,False,,106
return,disttable,0,,False,,1060
return,numericvector,0,,False,,1061
return,bufs,0,,False,,1062
return,httputility,0,,False,,1063
return,sys,0,,False,,1064
return,typename,0,,False,,1065
return,consolecolor,0,,False,,1066
