ID,NodeType,weight,x,y,color,PageRank,degree,degree.in,degree.out,label
0r,,1,0,0,#000000,0.000262921946937468,,,,0r
1l,,1,0,0,#000000,4.23649894382745E-05,,,,1l
abs,,1,0,0,#000000,0.000102998691624176,,,,abs
accessor,,1,0,0,#000000,0.000175994433187509,,,,accessor
activator,,1,0,0,#000000,0.00016239024683348,,,,activator
activeposition,,1,0,0,#000000,0.000156864373884303,,,,activeposition
add,,1,0,0,#000000,0.00173696194053762,,,,add
additionals,,1,0,0,#000000,0.000100480635965822,,,,additionals
addr,,1,0,0,#000000,0.000340714763228007,,,,addr
address,,1,0,0,#000000,0.000410307005475726,,,,address
addressof,,1,0,0,#000000,0.00140646834037873,,,,addressof
aggressiveinlining,,1,0,0,#000000,0.00274638386607511,,,,aggressiveinlining
alias,,1,0,0,#000000,0.000101578521792916,,,,alias
alldotnetprefixcolors,,1,0,0,#000000,6.31422506608626E-05,,,,alldotnetprefixcolors
alpha,,1,0,0,#000000,0.00022477837812417,,,,alpha
andalso,,1,0,0,#000000,0.00284844531209706,,,,andalso
angdeg,,1,0,0,#000000,4.72127081606211E-05,,,,angdeg
angrad,,1,0,0,#000000,4.21796112540634E-05,,,,angrad
apientrypoint,,1,0,0,#000000,0.000245838603779591,,,,apientrypoint
apiexport,,1,0,0,#000000,4.72629366586848E-05,,,,apiexport
apitable,,1,0,0,#000000,0.000136945641509582,,,,apitable
app,,1,0,0,#000000,0.00251457632981807,,,,app
append,,1,0,0,#000000,0.000424888662900824,,,,append
appendcurrentchar,,1,0,0,#000000,6.68501535432035E-05,,,,appendcurrentchar
appendline,,1,0,0,#000000,0.000721620744409145,,,,appendline
arg,,1,0,0,#000000,0.000420603230178706,,,,arg
argname,,1,0,0,#000000,0.000110892947984863,,,,argname
args,,1,0,0,#000000,0.00152006497511221,,,,args
argumentreference,,1,0,0,#000000,0.000102222900230312,,,,argumentreference
arguments,,1,0,0,#000000,0.000376755339191396,,,,arguments
array,,1,0,0,#000000,0.00190503349740224,,,,array
