proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\EvidenceLinks.vb,80,4,13,63,1,0,2,0,0,2986,2.99 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\EvidenceStream.vb,70,0,17,53,1,0,1,2,0,2404,2.40 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\GraphReader.vb,52,0,12,40,1,0,0,3,0,1591,1.59 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\JSONDump.vb,86,6,18,62,1,0,0,3,0,3107,3.11 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\SeekIndex.vb,147,1,27,119,2,8,2,2,0,5353,5.35 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\StorageProvider.vb,87,11,14,62,1,2,0,5,0,3243,3.24 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\StreamEmit.vb,252,20,38,194,1,0,0,7,0,10452,10.45 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\Message\EvidenceMsg.vb,49,8,8,33,2,4,0,2,0,1717,1.72 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\Message\IndexByRef.vb,16,0,5,11,1,2,0,1,0,443,443 B
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\Message\KnowledgeMsg.vb,49,4,7,38,1,6,0,2,0,1889,1.89 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\Message\LinkMsg.vb,47,0,7,40,1,5,0,2,0,1780,1.78 KB
E:\graphQL\src\graphMsg\graphMsg.vbproj,graphMsg\Message\TermIndexMsg.vb,22,0,8,14,2,4,0,1,0,615,615 B
E:\graphQL\src\graphMsg\graphMsg.vbproj,<project>,957,54,174,729,15,31,5,30,0,35580,35.58 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\ColorHashCode.vb,76,9,14,53,1,0,0,6,0,2326,2.33 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\graphdbMySQL.vb,30,0,7,23,1,4,2,0,0,1035,1.03 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\graphMySQL.vb,186,6,31,149,1,0,2,4,0,6971,6.97 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\KnowledgeLink.vb,19,3,4,12,1,5,0,1,0,639,639 B
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\KnowlegdeBuilder.vb,405,88,56,261,1,2,4,10,0,15988,15.99 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\mysql.vb,13,0,4,9,1,1,1,0,0,356,356 B
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\SignatureVerifycation.vb,7,0,3,4,1,0,0,0,0,223,223 B
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\graphdb\graph.vb,215,102,22,91,1,7,0,8,0,10023,10.02 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\graphdb\hash_index.vb,177,72,22,83,1,5,0,8,0,7366,7.37 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\graphdb\knowledge.vb,238,119,22,97,1,8,0,8,0,12336,12.34 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\graphdb\knowledge_cache.vb,175,64,22,89,1,7,0,8,0,7961,7.96 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,graphMySQL\graphdb\knowledge_vocabulary.vb,232,114,22,96,1,9,0,8,0,11864,11.86 KB
E:\graphQL\src\graphMySQL\graphMySQL.vbproj,<project>,1773,577,229,967,12,48,9,61,0,77088,77.09 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\KnowledgeDescription.vb,30,0,5,25,1,8,0,1,0,1024,1.02 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\KnowledgeTerm.vb,118,12,19,87,1,0,0,4,0,4410,4.41 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\Relationship.vb,4,0,0,4,1,0,0,0,0,55,55 B
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\Graph\Association.vb,27,9,6,12,1,2,1,0,0,755,755 B
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\Graph\EvidenceGraph.vb,206,22,37,147,1,1,8,3,0,8053,8.05 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\Graph\EvidencePool.vb,147,5,26,116,2,4,1,8,0,5360,5.36 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\Graph\GraphActions.vb,128,17,23,88,1,0,2,1,0,4566,4.57 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\Graph\GraphModel.vb,18,5,3,10,1,0,0,1,0,587,587 B
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\Graph\GraphPool.vb,207,19,32,156,1,0,3,6,0,8214,8.21 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\Graph\Knowledge.vb,59,35,9,15,1,5,1,0,0,1920,1.92 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\KnowledgeBuilder\CreateKnowledge.vb,198,42,25,131,1,0,0,5,0,7539,7.54 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\KnowledgeBuilder\CreateNetwork.vb,103,11,14,78,1,0,0,3,0,4263,4.26 KB
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\KnowledgeBuilder\HubAlignment.vb,20,0,6,14,1,0,1,2,0,635,635 B
E:\graphQL\src\graphQL\graphQL.vbproj,graphQL\KnowledgeBuilder\KnowledgeAlignment.vb,88,9,15,64,1,1,2,3,0,2625,2.62 KB
